pl_name,ra,dec,sy_dist
GJ 1002 b,1.6764641,-7.5462123,4.84867
GJ 1002 c,1.6764641,-7.5462123,4.84867
GJ 1061 b,54.0032486,-44.5143104,3.67278
GJ 1061 c,54.0032486,-44.5143104,3.67278
GJ 1061 d,54.0032486,-44.5143104,3.67278
GJ 1132 b,153.7090696,-47.1549358,12.613
GJ 1132 c,153.7090696,-47.1549358,12.613
GJ 1148 b,175.4326081,42.7515862,11.0143
GJ 1148 c,175.4326081,42.7515862,11.0143
GJ 1151 c,177.7304866,48.3732334,8.03625
GJ 1214 b,258.8313991,4.9606795,14.6427
GJ 1252 b,306.9286462,-56.4622865,20.373
GJ 1265 b,333.4324675,-17.6870623,10.2525
GJ 143 b,51.7501882,-63.500166,16.32
GJ 15 A b,4.6126677,44.0247296,3.56228
GJ 15 A c,4.6126677,44.0247296,3.56228
GJ 160.2 b,61.6454173,-20.8564724,25.8557
GJ 163 b,62.3228353,-53.3711768,15.1285
GJ 163 c,62.3228353,-53.3711768,15.1285
GJ 163 d,62.3228353,-53.3711768,15.1285
GJ 179 b,73.0245495,6.4752347,12.356
GJ 180 b,73.460097,-17.776194,11.9407
GJ 180 c,73.460097,-17.776194,11.9407
GJ 180 d,73.460097,-17.776194,11.9407
GJ 2030 b,50.8237604,-7.7950429,37.0788
GJ 2030 c,50.8237604,-7.7950429,37.0788
GJ 2056 b,108.0194945,-24.8921008,28.4434
GJ 229 A c,92.6435993,-21.8677233,5.75624
GJ 229 b,92.6435993,-21.8677233,5.75624
GJ 238 b,98.454881,-58.5250316,15.2142
GJ 251 b,103.7002499,33.2664632,5.58057
GJ 27.1 b,9.9980016,-44.2541679,23.6062
GJ 273 b,111.852091,5.225807,5.921535
GJ 273 c,111.852091,5.225807,5.921535
GJ 3021 b,4.0634323,-79.8514218,17.5559
GJ 3082 b,18.6432425,-53.9407751,16.6186
GJ 3090 b,20.4384281,-46.7147234,22.4751
GJ 3138 b,32.2977385,-16.3392495,28.4712
GJ 3138 c,32.2977385,-16.3392495,28.4712
GJ 3138 d,32.2977385,-16.3392495,28.4712
GJ 317 b,130.2445254,-23.452809,15.1968
GJ 317 c,130.2445254,-23.452809,15.1968
GJ 3222 b,50.8972464,-40.0762325,18.23817
GJ 328 b,133.7819507,1.5420011,20.5266
GJ 328 c,133.7819507,1.5420011,20.5266
GJ 3293 b,67.1484425,-25.1713396,20.1903
GJ 3293 c,67.1484425,-25.1713396,20.1903
GJ 3293 d,67.1484425,-25.1713396,20.1903
GJ 3293 e,67.1484425,-25.1713396,20.1903
GJ 3323 b,75.4868824,-6.9485133,5.37484
GJ 3323 c,75.4868824,-6.9485133,5.37484
GJ 3341 b,78.9471415,-31.2948458,23.619
GJ 338 B b,138.5916722,52.6835211,6.33256
GJ 3470 b,119.7735021,15.391209,29.4214
GJ 3473 b,120.5936065,3.3371629,27.3644
GJ 3473 c,120.5936065,3.3371629,27.3644
GJ 3512 b,130.3316616,59.4918364,9.48637
GJ 3512 c,130.3316616,59.4918364,9.48637
GJ 357 b,144.0074644,-21.6650634,9.44181
GJ 357 c,144.0074644,-21.6650634,9.44181
GJ 357 d,144.0074644,-21.6650634,9.44181
GJ 3634 b,164.6433493,-31.1443383,20.3779
GJ 367 b,146.121464,-45.7790165,9.41263
GJ 367 c,146.121464,-45.7790165,9.41263
GJ 367 d,146.121464,-45.7790165,9.41263
GJ 3779 b,200.7335358,24.4639425,13.743
GJ 3929 b,239.5775678,35.4081141,15.8095
GJ 3929 c,239.5775678,35.4081141,15.8095
GJ 393 b,157.2288672,0.8378485,7.03149
GJ 3942 b,242.2645452,52.9441443,16.9287
GJ 3988 b,255.8503747,51.4089795,9.9105
GJ 3998 b,259.0020507,11.0561751,18.1459
GJ 3998 c,259.0020507,11.0561751,18.1459
GJ 411 b,165.834471,35.972317,5.675773
GJ 414 A b,167.7745044,30.4451688,11.8893
GJ 414 A c,167.7745044,30.4451688,11.8893
GJ 422 b,168.9810458,-57.5425629,12.6631
GJ 4276 b,336.3221454,59.412503,21.3362
GJ 433 b,173.8619194,-32.5436302,9.06456
GJ 433 c,173.8619194,-32.5436302,9.06456
